driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,season,circuit,round,vehicle,flag_at_fl,team_no,lap_time_ms,lap_time_s,engine,driver_stint_no,driver_stint,team_stint_no,team_stint,elapsed_ms,position,class_position,interval_ms,interval,gap,class_interval,class_gap,elapsed_s
3,108,0 days 00:03:33.997000,0,B,51.905,0,80.188,0,81.904,0,91.0,0 days 03:32:30.565000,17:32:14.309,0 days 00:00:51.905000,0 days 00:01:20.188000,0 days 00:01:21.904000,258.6,Jose Maria LOPEZ,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,213997.0,213.997,Toyota,2,Jose Maria LOPEZ Stint #2,4,Toyota Gazoo Racing #7 Stint #4,12750565,2.0,2.0,13559.0,13.559,13.559,13.559,13.559,12750.565
3,108,0 days 00:01:51.905000,0,,34.823,0,42.018,0,35.064,0,174.1,0 days 03:43:01.710000,17:42:45.454,0 days 00:00:34.823000,0 days 00:00:42.018000,0 days 00:00:35.064000,273.6,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,111905.0,111.905,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13381710,11.0,3.0,24758.0,24.758,644.7040000000001,24.758,38.317,13381.71
3,109,0 days 00:03:01.127000,0,,105.616,0,40.974,1,34.537,0,107.6,0 days 03:35:18.133000,17:35:01.877,0 days 00:01:45.616000,0 days 00:00:40.974000,0 days 00:00:34.537000,146.8,Brendon HARTLEY,0:01:13.688,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,181127.0,181.127,Toyota,1,Brendon HARTLEY Stint #1,5,Toyota Gazoo Racing #8 Stint #5,12918133,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12918.133
2,109,0 days 00:03:04.132000,0,,108.737,0,41.113,0,34.282,0,105.8,0 days 03:35:34.697000,17:35:18.441,0 days 00:01:48.737000,0 days 00:00:41.113000,0 days 00:00:34.282000,184.3,Kamui KOBAYASHI,0:01:18.830,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,184132.0,184.132,Toyota,1,Kamui KOBAYASHI Stint #1,5,Toyota Gazoo Racing #7 Stint #5,12934697,2.0,2.0,16564.0,16.564,16.564,16.564,16.564,12934.697
3,109,0 days 00:01:51.506000,0,,34.882,0,41.78,0,34.844,0,174.7,0 days 03:44:53.216000,17:44:36.960,0 days 00:00:34.882000,0 days 00:00:41.780000,0 days 00:00:34.844000,264.9,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,111506.0,111.506,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13493216,11.0,3.0,20672.0,20.672,575.0830000000001,20.672,37.236,13493.216
3,110,0 days 00:01:49.472000,2,,33.981,3,41.283,0,34.208,2,178.0,0 days 03:37:07.605000,17:36:51.349,0 days 00:00:33.981000,0 days 00:00:41.283000,0 days 00:00:34.208000,277.8,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,109472.0,109.472,Toyota,1,Brendon HARTLEY Stint #1,5,Toyota Gazoo Racing #8 Stint #5,13027605,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13027.605
2,110,0 days 00:01:49.533000,0,,34.287,0,41.005,1,34.241,2,177.9,0 days 03:37:24.230000,17:37:07.974,0 days 00:00:34.287000,0 days 00:00:41.005000,0 days 00:00:34.241000,266.9,Kamui KOBAYASHI,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,109533.0,109.533,Toyota,1,Kamui KOBAYASHI Stint #1,5,Toyota Gazoo Racing #7 Stint #5,13044230,2.0,2.0,16625.0,16.625,16.625,16.625,16.625,13044.23
3,110,0 days 00:01:53.326000,0,,35.244,0,42.874,0,35.208,0,171.9,0 days 03:46:46.542000,17:46:30.286,0 days 00:00:35.244000,0 days 00:00:42.874000,0 days 00:00:35.208000,260.5,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,113326.0,113.326,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13606542,11.0,3.0,18361.0,18.361,578.937,18.361,34.986000000000004,13606.542
3,111,0 days 00:01:50.300000,0,,34.037,0,41.423,0,34.84,0,176.6,0 days 03:38:57.905000,17:38:41.649,0 days 00:00:34.037000,0 days 00:00:41.423000,0 days 00:00:34.840000,270.9,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,110300.0,110.3,Toyota,1,Brendon HARTLEY Stint #1,5,Toyota Gazoo Racing #8 Stint #5,13137905,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13137.905
2,111,0 days 00:01:51.429000,0,,34.898,0,41.353,0,35.178,0,174.8,0 days 03:39:15.659000,17:38:59.403,0 days 00:00:34.898000,0 days 00:00:41.353000,0 days 00:00:35.178000,243.0,Kamui KOBAYASHI,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,111429.0,111.429,Toyota,1,Kamui KOBAYASHI Stint #1,5,Toyota Gazoo Racing #7 Stint #5,13155659,2.0,2.0,17754.0,17.754,17.754,17.754,17.754,13155.659
3,111,0 days 00:01:51.708000,0,,34.995,0,41.737,0,34.976,0,174.4,0 days 03:48:38.250000,17:48:21.994,0 days 00:00:34.995000,0 days 00:00:41.737000,0 days 00:00:34.976000,276.4,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,111708.0,111.708,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13718250,11.0,3.0,14742.0,14.742,580.345,14.742,32.496,13718.25
3,112,0 days 00:01:50.952000,0,,34.577,0,41.631,0,34.744,0,175.6,0 days 03:40:48.857000,17:40:32.601,0 days 00:00:34.577000,0 days 00:00:41.631000,0 days 00:00:34.744000,269.6,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,110952.0,110.952,Toyota,1,Brendon HARTLEY Stint #1,5,Toyota Gazoo Racing #8 Stint #5,13248857,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13248.857
2,112,0 days 00:01:50.844000,0,,34.382,0,41.623,0,34.839,0,175.8,0 days 03:41:06.503000,17:40:50.247,0 days 00:00:34.382000,0 days 00:00:41.623000,0 days 00:00:34.839000,275.0,Kamui KOBAYASHI,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,110844.0,110.844,Toyota,1,Kamui KOBAYASHI Stint #1,5,Toyota Gazoo Racing #7 Stint #5,13266503,2.0,2.0,17646.0,17.646,17.646,17.646,17.646,13266.503
3,112,0 days 00:01:52.460000,0,,35.122,0,42.107,0,35.231,0,173.2,0 days 03:50:30.710000,17:50:14.454,0 days 00:00:35.122000,0 days 00:00:42.107000,0 days 00:00:35.231000,261.7,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,112460.0,112.46,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13830710,11.0,3.0,10876.0,10.876,581.853,10.876,28.522,13830.71
3,113,0 days 00:01:51.648000,0,,34.396,0,42.211,0,35.041,0,174.5,0 days 03:42:40.505000,17:42:24.249,0 days 00:00:34.396000,0 days 00:00:42.211000,0 days 00:00:35.041000,273.6,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,111648.0,111.648,Toyota,1,Brendon HARTLEY Stint #1,5,Toyota Gazoo Racing #8 Stint #5,13360505,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13360.505
2,113,0 days 00:01:51.170000,0,,34.385,0,41.611,0,35.174,0,175.3,0 days 03:42:57.673000,17:42:41.417,0 days 00:00:34.385000,0 days 00:00:41.611000,0 days 00:00:35.174000,279.3,Kamui KOBAYASHI,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #7,111170.0,111.17,Toyota,1,Kamui KOBAYASHI Stint #1,5,Toyota Gazoo Racing #7 Stint #5,13377673,2.0,2.0,17168.0,17.168,17.168,17.168,17.168,13377.673
3,113,0 days 00:01:51.973000,0,,34.98,0,41.92,0,35.073,0,174.0,0 days 03:52:22.683000,17:52:06.427,0 days 00:00:34.980000,0 days 00:00:41.920000,0 days 00:00:35.073000,274.3,Matthieu VAXIVIERE,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Alpine A480,,Alpine Elf Matmut #36,111973.0,111.973,Gibson,2,Matthieu VAXIVIERE Stint #2,4,Alpine Elf Matmut #36 Stint #4,13942683,11.0,3.0,6909.0,6.909,582.178,6.909,24.077,13942.683
3,114,0 days 00:01:51.805000,0,,34.625,0,42.031,0,35.149,0,174.3,0 days 03:44:32.310000,17:44:16.054,0 days 00:00:34.625000,0 days 00:00:42.031000,0 days 00:00:35.149000,260.5,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Toyota GR010 HYBRID,,Toyota Gazoo Racing #8,111805.0,111.805,Toyota,1,Brendon HARTLEY Stint #1,5,Toyota Gazoo Racing #8 Stint #5,13472310,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13472.31
